Episode,market_share_predict
Section de recherches,3
Partir autrement en famille,2.5
Journal Suisse,1.3
Des chiffres et des lettres,1.3
Cut,0.9
Plus belle la vie,0.9
Tout le monde veut prendre sa place,3.4
Questions pour un champion,1.3
Journal de France 2,2.3
Nus et culottés,3.3
Les flots,2.5
Échappées belles,12.2
Complément de programme,2.5
TV5 le journal,2.4
C à dire?!,6.3
Journal Afrique,3.4
Complément de programme,7.5
C à vous,7.5
Section de recherches,11.7
Que sont-ils devenus?,2.3
Les gratteux,15.9
Vendre ou rénover au Québec,2.7
Mariage à l'aveugle,12.7
Pas le choix de rénover!,7
Décore ta vie,15.9
J'ai raté mes rénos!,2.3
Papas à 110 %!,1.4
Papas à 110 %!,1.4
C'est quoi ton plan? (M),2.3
C'est quoi ton plan? (M),2
C'est quoi ton plan? (M),2
C'est quoi ton plan? (M),2
Le combat des flips,1.7
Le Club Mel,2.6
Quand l'amour rend aveugle,3.7
Taxi vers l'au-delà,3.7
Mon cinéma,4.1
Décore ta vie,3.5
J'ai raté mes rénos!,5.4
Bienvenue dans notre zoo,3
Papas à 110 %!,3
Papas à 110 %!,1.6
Bye-Bye Maison!,2.9
C'est quoi ton plan?,1.8
Mariages sur mesure,4.2
Design V.I.P.,1.4
Vendre ou rénover au Québec,1
Les naufragés de l'amour,1
On joue au docteur,1.4
Dévisagés,2.4
Bye-Bye Maison!,2.6
C'est quoi ton plan?,6.1
Mon cinéma,4.2
Le wine show,0.4
Call of the Wildman: L’homme tortue (2),3.1
Call of the Wildman: L’homme tortue (2),3.1
Le marcheur de l'Himalaya,0
Les routes mythiques (2),0
Décollage pour l'Asie,0
Mordu de la pêche (6),0.2
Safari photo avec Austin Stevens,0.1
Benoit à la plage,0.5
Hotel Impossible Top 10,0.5
Regarde le monde,0.7
Bikinis et bords de mer (2),0.7
Spots de baignade secrets,0.5
CROISIÈRES DE RÊVE,0.4
"99 envies d'Évasion - Vancouver, Las Vegas",0.7
Hôtels eXtrêmes,0.6
Chiller au Québec avec Félipé,0.6
Avec ou sans cash,0.6
Call of the Wildman: L’homme tortue (2),1.5
Call of the Wildman: L’homme tortue (2),1.5
Vivre sous zéro (3),0.9
Vivre sous zéro (3),0.9
Hell's Kitchen (18),0.3
Toujours plus loin avec Anthony Bourdain (2),0.6
Le Voyageur assoiffé,2.9
Vivre sous zéro (3),2.3
Vivre sous zéro (3),2.3
La course aux trésors d'Historia,0.2
La course aux trésors d'Historia,0.2
Le lot du diable,0.2
Poirier enquête,0.2
Poirier enquête,4.8
Hors-la-loi : confession d’un Hells Angel,5
Légendes de la route,0.1
Légendes de la route,1.4
Les moteurs de la Nouvelle-Orléans,5.3
Les moteurs de la Nouvelle-Orléans,0.2
Fous des bolides,0.2
Fous des bolides,0.2
Fous des bolides,0.2
Fous des bolides,1.4
Détroit : bêtes d’acier,0.3
Traqueurs d’ondes,3
De père en fils,1.2
La course aux trésors d'Historia,1.2
La course aux trésors d'Historia,1.2
En 6ième vitesse,1
Les moteurs de la Nouvelle-Orléans,1.2
Les moteurs de la Nouvelle-Orléans,3.8
Fous des bolides,0.9
Fous des bolides,0.9
Fous des bolides,1.1
Fous des bolides,1.1
Détroit : bêtes d’acier,2.1
Traqueurs d’ondes,2.5
De père en fils,1.1
Marins d'eau douce,2.4
Les montagnards,2
Les montagnards,0.3
Les montagnards,0.3
Le lot du diable,4.1
De l'acier et du feu,4.1
De l'acier et du feu,1.4
CinéMAX,1
SQ,0
SQ,0
SQ,0
Un souper presque parfait,0
Un souper presque parfait,0.1
Un souper presque parfait,0.1
Un souper presque parfait,0.1
Un souper presque parfait,0.6
CinéMAX,4
X-Files: aux frontières du réel,0
La loi et l'ordre: crimes sexuels,4.7
Dr House,0.1
Dr House,0.1
Dr House,0.5
Dr House,0.5
Dr House,0.5
La loi et l'ordre: crimes sexuels,4.7
Dr House,0.5
Le mentaliste,1
CinéMAX,1.8
CinéMAX,0.1
Younger,0.4
Younger,0.4
"Amour, si affinités",1
Téléjournal 02h sem,6.4
Téléjournal 02h30 sm,6.4
Téléjournal nuit sem,6.4
Téléjournal nuit sem,6.4
Téléjournal 04h00 sem,6.4
Téléjournal 04h30 sem,2.1
RDI matin 05h00 sem,2.1
RDI matin 05h30 sem,0
RDI matin 06h00 sem,0
RDI matin 06h30 sem,0.1
RDI matin 07h00 sem,0.1
RDI matin 07h30 sem,0.1
RDI matin 08h00 sem,0.1
RDI matin 08h30 sem,0
RDI matin 09h00 sem,0
L'info 09h30 sem,0.4
SP Justin Trudeau en Ontario,0.1
L'info 10h00 sem,0.4
L'info 10h30 sem,0.4
SP Trump sur le point de déclarer l'urgence nationale,0.1
L'info 11h00 sem,0.4
Isabelle Richer,0.4
Téléjournal midi,0.8
Période de questions,0.3
L'info 13h30 sem,0.4
SP Annonce à Saint-Adolphe-D'Howard,0.8
L'info 13h30 sem,0.4
L'info 14h00 sem,0.4
L'info 14h30 sem,0.1
SP Situation en Haïti,0.3
L'info 15h00 sem,0.4
L'info 15h30 sem,0.5
L'info 16h00 sem,0.5
L'info 16h30 sem,0.5
En direct avec Patrice Roy,1.7
"National, Le",0.6
RDI économie 18h30,0.6
24 heures en 60 min,1.4
24 heures en 60 min,1.4
Téléjournal 21h sem,2.3
Téléjournal 21h30 sm,2.3
Téléjournal 22h sem,2.3
Téléjournal 22h30 sm,2.3
"National, Le",0.4
"National, Le",6.4
24 heures en 60 min,3.3
24 heures en 60 min,3.3
Code Black,13.8
NCIS,0.2
Retour à Cedar Cove,0
La Reine,0.1
Mon ex à moi,0
Mon ex à moi,0
Les lettres orphelines,0
Le fardeau de la preuve,0.2
NCIS,0.2
Retour à Cedar Cove,1.3
Dre Mary: mort sur ordonnance,0
Crimes majeurs,0
Une lutte exemplaire,1.2
"Mélinda, entre deux mondes",1.2
Heartland,1.2
Une femme exemplaire,1.2
Une femme exemplaire,1.2
NCIS,1.2
NCIS,0.2
Le résident,0.2
Hawaii 5-0,0.2
Dre Mary: mort sur ordonnance,0.6
Élémentaire,9.4
NCIS,9.4
Solitaire,0.1
Expédition extrême,0
Ultime défi ninja,3.5
Surnaturel,5.5
Plus dur qu'on pense,6.1
Comment c'est fait,6.1
Couples à l'état sauvage,0.1
Maripier!,0
Rapides et millionnaires,0
Garage d'élite,0
Milot Land,0
Fallait pas essayer,1.5
Ultime défi ninja,0
Surnaturel,0
Plus dur qu'on pense,0.2
Fous de motoneige,0.2
BattleBots : Combats de robots,0
Remorquage à South Beach (M),0
Remorquage à South Beach (M),0
Remorquage à South Beach (M),0
Remorquage à South Beach (M),0
Seuls et tout nus XL,0
Direct dans l'net,0
Plus dur qu'on pense,0
Expédition extrême,0.5
Week-end de bois,0
Garage d'élite,0
Américars : rapides et musclés,0.2
Les hors-la-loi du volant,0.2
Infiltration,0.1
Maripier!,0.1
Cinéma,0.8
South Park,0
Week-end de bois,0.1
Family Guy,1.3
American Dad!,4.8
Le Tom Et Jerry Show,4.8
Bugs Bunny Spécial Saint Valentin,4.8
Bagel et Becky,4.8
LEGO Ninjago,4.8
Ben 10,4.8
Ben 10,4.8
Cracké,4.8
Teen Titans Go!,4.8
Teen Titans Go!,4.8
Teen Titans Go!,4.8
Toon Marty,3.4
Frankie et les ZhuZhu Pets,1.7
Bugs et les Looney Tunes,1.7
Bugs et les Looney Tunes,1.7
Ben 10,1.7
Ben 10,1.7
"Pokémon, la série : Soleil et Lune - Ultra-Aventures",1.7
Les Fous Du Volant,1.7
Les Fous Du Volant,1.7
Teen Titans Go!,1.7
Teen Titans Go!,1.7
Teen Titans GO!,1.7
Teen Titans Go!,1.7
Mysticons,1
Chop Chop Ninja,0
Le Tom Et Jerry Show,2.8
Les 3 Amigonautes,2.8
Winston et Dudley Ding Dong,1.7
Frankie et les ZhuZhu Pets,2.6
Hotel Transylvania,2.8
Il pleut des hamburgers,2.8
Unikitty,1.4
Unikitty,1.4
Bunnicula,2.6
Bunnicula,2.6
Les Fous Du Volant,2.9
Les Fous Du Volant,2.9
Bugs et les Looney Tunes,2.6
Bugs et les Looney Tunes,2.6
Chop Chop Ninja,2.6
"Pokémon, la série : Soleil et Lune - Ultra-Aventures",0.9
Ben 10,2.6
Ben 10,2.6
Mysticons,0.9
LEGO Ninjago,2.8
Unikitty,3.7
Unikitty,3.7
Les Simpson,2.8
Teen Titans GO!,3.7
Teen Titans GO!,3.7
Teen Titans Go!,3.7
Batman: Gotham by Gaslight (Fr),2.7
Les Simpson,3.3
Family Guy,2.7
American Dad!,2.7
Les Grandes Gueules s’animent!,1
Les Simpson,3.4
Robot Chicken,1
Robot Chicken,2.9
Family Guy,1.3
American Dad!,1.3
Les Grandes Gueules s’animent!,4
Robot Chicken,2.9
Robot Chicken,2.9
Les recrues d'infanterie,15.9
Les recrues d'infanterie,15.9
Remorqueurs du Saint-Laurent,2.3
La guerre des transports,2.3
Les héros du feu,12.7
Le convoi de l'extrême,7
DOCTEUR JEFF,7
Les recrues d'infanterie,2.2
Les recrues d'infanterie,2.2
Riches et coupables,1.9
Contact animal,0.4
Phénomènes vus de l'espace,2.3
Vie de chantier,3.9
De l'or sous la glace,3.7
Remorqueurs du Saint-Laurent,3.7
La guerre des transports,3
Parcomètre Blues,3.9
Déménageurs de maisons,2.8
Exploration science,4.1
Hantise,2.1
À la poursuite du trésor inca,1.2
Alaska : La ruée vers l'or,3.5
Secrets des douanes,4.3
En prison,0.6
Patrouille en direct : policières,0.8
Les pires prisons du monde,1.4
Craindre son voisin,1.4
Routiers de l'Outback,1.2
La guerre des enchères,2.3
La guerre des enchères,2.3
Contact animal,9.2
Bella et les Bulldogs (M),0
Bella et les Bulldogs (M),0
Bella et les Bulldogs (M),0
Bella et les Bulldogs (M),0
Backstage : Les coulisses du succès,0
Le Studio,0
Les Foster (M),0.1
Les Foster (M),0.1
The Big Bang Theory,0
Young Sheldon V.F.,0
2 filles fauchées,0
The Big Bang Theory,0
Flashpoint,0.1
Les Frères Scott,0.5
Les Foster,0.5
Riverdale,0
Marvel's Runaways V.F.,0
The Gifted V.F.,0.3
iZombie,0.3
Cinéma,0.8
Max et Livia,0
Code F.,0
"Big Little Lies : petits secrets, grands mensonges",0.2
Les Newbies,7.4
Web thérapie,5.3
Complément de programme canadien,5.3
St-Nickel,2.9
Complément de programme canadien,5.3
L'espionne de Tanger,5.3
Complément de programme canadien,5.3
Dans une galaxie près de chez vous,5.3
Complément de programme canadien,5.3
Watatatow,5.3
Complément de programme canadien,3.2
Émissions jeunesse AM 1,0.7
Dans une galaxie près de chez vous,1.1
Watatatow,3.7
Complément de programme canadien,1.3
Fou des oiseaux,1.6
Fous des animaux,2.8
Hôpital vétérinaire,2.8
Complément de programme canadien,2.1
Le goût du pays,2.8
À deux pas de la liberté,1.1
Écrivain public,3.7
Balade à Toronto,2.8
Échappe-toi si tu peux,0
Cochon dingue,3
Émissions jeunesse PM 1,0
Dans une galaxie près de chez vous,0.8
Watatatow,3.6
Complément de programme canadien,2.5
À fond de train,0.7
Complément de programme canadien,2.5
Degrassi : nouvelle génération,2.4
Degrassi : nouvelle génération,2.4
Complément de programme canadien,2.5
Radio Enfer,1.4
Complément de programme canadien,2.5
Radio Enfer,2.4
Complément de programme canadien,2.5
Le loup-garou du campus,1.4
Complément de programme canadien,1.4
Le loup-garou du campus,0.6
Complément de programme canadien,2.7
Les Newbies,1
Le sens du punch,1
Complément de programme canadien,2.7
Les encanteurs,1.5
Complément de programme canadien,0.9
Fous des animaux,1.9
Mauvais karma,4
Complément de programme canadien,1.3
Mauvais karma,4
Complément de programme canadien,1.3
Le p'tit cabaret,4
Complément de programme canadien,1.3
Enquêtes internes,1.5
Cinéma #2,3.3
Rétroviseur,0.8
"Petite Dorrit, La",1
Marchlands,1.7
Appelez mon agent,2.9
Appelez mon agent,2.9
Cormoran,4.3
Amour du country,1.4
Pour emporter,0.4
Appelez mon agent,2.3
Appelez mon agent,2.3
Cormoran,6.7
Mr. Bean,2
Mission X,1.6
Cormoran,6.7
Quelle famille,1.8
Moi et l'autre,1.8
Mr. Bean,0.8
Dre Grey,1.1
Pour emporter,0.5
C'est juste de la tv,1.7
"Effet Wow, L'",1.7
Cinéma,0.2
Faits divers,1.5
V - Bonne nuit,9.1
Moment V,9.1
NVL en bref,11.9
Moment V,9.1
NVL en bref,11.9
Infopublicité,9.1
NVL week-end,14.7
Mémoire sous enquête,14.7
NVL en bref,11.9
RPM,14.7
RPM+,12.3
Infopublicité,18
La guerre des clans,16.1
Taxi payant,15.9
Taxi payant,15.7
Ciné V,16.4
Ciné V,17.3
Ciné V,17.3
Ciné V,10.6
Infopublicité,12.7
Infopublicité,12.7
Infopublicité,12.7
Infopublicité,12.7
Cinéma (fin de soirée),10.9
24h en 60 minutes,10.4
Prog RDI sem,4.7
Alicia,1.4
Lilou Bambou,1.4
Lilou Bambou,1.4
Super Wings,10.4
Schtroumpfs,1.6
Dot.,8.1
Boule et Bill,8.1
Boule et Bill 3D,8.1
Arthur et les enfants de la table ronde,8.1
Bernard,8.1
Sonic boom,7.5
Dessinatruc!,8.1
Paf le chien,1.4
Paf le chien,1.4
Nils Holgersson,1.4
Angry birds blues,6.1
Massi en mission,4.6
Hôtel Transylvanie - la série,6.1
Hôtel Transylvanie - la série,5.1
L'agent Jean,4.9
Les Sapiens,5.1
Les Sapiens,5.5
Angry birds blues,1.8
Bernard,1.8
Danser sa vie,1.8
Danser sa vie,5.5
Science ou magie,4
Angry birds blues,1.9
Vite pas vite,4
Vite pas vite,4
Edgar & Ellen,2.9
Edgar & Ellen,2.9
Par ici la magie,3
Podium,3
L'Épicerie,3
Téléjournal midi w-e,2.9
"Facture, La",6.3
Enquête,6.4
Au suivant,15.5
Inspecteur barnaby,7.8
La semaine verte,8.6
Téléjournal 18h,7.6
La petite vie,8.4
En direct de l'univers,8.1
Deuxième chance,16.4
Notre vie,18
"Téléjournal, Le",17.9
Doc humanité,12.8
Dre Grey,8.1
Unité 9,9.7
Unité 9,3
DOUBLE CINÉ-LUNE,8.5
TVA NOUVELLES (NUIT - LV),7.5
INFOPUBLICITÉ,8
INFOPUBLICITÉ,11.9
LA VICTOIRE DE L'AMOUR,1.4
SALUT BONJOUR WEEK-END,4.7
BIEN,1.9
PLEINS FEUX SUR LE CARNAVAL DE QUÉBEC,5.9
PROPULSION,3
TVA NOUVELLES (12H - SD),2.9
CHACUN SA ROUTE,6.3
INFOPUBLICITÉ,15.5
CINÉ WEEK-END,7.2
CINÉ-POP,7.2
TVA NOUVELLES (18H - SD),7.6
CINÉ-EXTRA,11.9
CINÉMAX,4.9
TVA NOUVELLES (RES - S),7.6
DOUBLE CINÉ-LUNE,12.7
DOUBLE CINÉ-LUNE,10.9
Ça vaut le coût,2.3
"Francs-tireurs, Les",0
Y'a du monde à messe,0
"Légendes de Tatonka, Les",0
"Légendes de Tatonka, Les",0
Digby le dragon,0
Digby le dragon,0
"Livre de la jungle, Le",0
"Livre de la jungle, Le",0
Le livre de la jungle    Mission safari,0
Simon,0
"Argonautes, Les",0
"Argonautes, Les",0
"Pat'Patrouille, La",0
Robocar Poli,0
Robocar Poli,0
Chuggington,0.2
Chuggington,0.2
"Tribu Monchhichi, La",0
"Pat'Patrouille, La",0
Grizzy et les lemmings,0.2
Grizzy et les lemmings,0.2
"As de la Jungle, Les",0.2
"Chouette & Cie, La",0.2
ALVINNN!!! et Les Chipmunks,1.3
Mini-Ninjas,1.3
Dragons : Par-delà les rives,1.3
"Aventures de Ladybug et Chat Noir, Les",1.3
Grizzy et les Lemmings,0.1
Roi Julian! L'élu des lémurs,2.2
"Dernier passager, Le",2.2
Cochon dingue,2
Cochon dingue,1.2
Cochon dingue,0
Un chef à la cabane,0.7
Kebec,0.8
Format familial,0.8
Génial!,0.8
Génial!,0.9
Génial!,0.9
Génial!,0.9
Ciné-mollo,1.8
Cette année-là,0.4
Belle et Bum,11.1
Cinéma,7.6
House of Cards,4
"Heure est grave, mais la demi-heure est drôle, L'",0
Format familial,0.2
Sports 30 24h-6h,1
Sports 30 6h-13h30,1
Tennis ATP Tour,1
Documentaire,0.5
Documentaire,0.5
Hockey Le Magazine,0.5
Hors-Jeu 2.0 Prime,0.5
Hockey CH Avec pas d'Match,0.5
Tennis ATP Tour,1
Golf PGA,1.6
Hockey Canadiens Express Hebdo Prime,1.7
Curling,1.8
Sports 30 Transition,0.3
L'Antichambre,0.5
Filler,1.1
Auto Nascar,5.3
Hockey Canadiens Express Hebdo Daytime,0.8
Buzz,0.8
Buzz,0.8
Coup de foudre,4.7
Coup de foudre,5.5
Coup de foudre,5.5
Coup de foudre,5.5
Coup de foudre,5.5
Coup de foudre,0.3
Coup de foudre,0.5
Coup de foudre,0.5
Buzz,0.2
Buzz,0.2
Buzz,0.2
Buzz,0.2
X Factor,1
X Factor,0.8
Buzz,0.2
Buzz,0.2
Buzz,0.2
CinéPlus,1.6
CinéPlus,1.6
X Factor,0.4
X Factor,1.8
Buzz,1.7
Supergirl,1.8
CinéPlus,0.5
Buzz,1.1
Buzz,2.7
Buzz,1.9
Buzz,1.9
Buzz,0.8
Buzz,0.8
ROTATION COMP2 5A-5A,1
ROTATION COMP3 2A-2A,1
SOIREE2 7P-3A,1.5
SOIREE3 7P-5A,1
ROTATION COMP1 5A-3A,1.5
MATIN 5AM-12P,0.5
ROTATION COMP1 5A-3A,1
ROTATION COMP2 5A-5A,1
APRES-MIDI 12P-7P,0.6
SOIREE2 7P-3A,1
SOIREE3 7P-5A,1
SOIREE1 7P-1A,1
Hockey 360,0.1
L'Antichambre,0.1
Hockey 360,0.1
L'Antichambre,0.1
Hockey 360,0.4
Destination Ski,7.2
Curling-R,7.2
Jeux du Canada,1.3
Histoires de Sentiers,7.2
Bonne Chasse,5.1
Passion Plein Air,4.1
Vacances Nature,4.1
Shore Lunch,0.4
Curling,3.1
Auto Formule électrique,9.6
Auto Rallye Championnat Canadien,6.5
Sports 30 18h-24h,0.4
Documentaire,0.7
Basketball NBA,2.9
Jeux du Canada,0.7
Sports 30 24h-6h,15.4
Sports 30 24h-6h,15.4
TVA NOUVELLES (22h),6.1
LE QUÉBEC MATIN WEEK-END,6.1
LCN/MAINTENANT,2.9
LCN/MAINTENANT,2.9
LCN/MAINTENANT,2.9
LCN/MAINTENANT,2.9
TVA NOUVELLES (12h - SD),9.5
J.E.,2.9
DENIS LÉVESQUE,7.3
LCN/MAINTENANT,2.9
LCN/MAINTENANT,2.9
LCN/MAINTENANT,2.9
LCN/MAINTENANT,3.8
LCN/MAINTENANT,3.8
J.E.,3.8
LCN/MAINTENANT,3.8
LCN/MAINTENANT,3.8
TVA NOUVELLES (18h - SD),4.5
TVA NOUVELLES (18h - SD),4.5
DENIS LÉVESQUE,3.8
LCN/MAINTENANT,3.8
LCN/MAINTENANT,3.7
DENIS LÉVESQUE,2.4
TVA NOUVELLES (22h),2.6
TVA NOUVELLES (22h),3.3
Section de recherches,16.2
Complément de programme,4.5
Questions pour un champion,13.3
Tout le monde veut prendre sa place,13.3
Les flots,17.6
TV5 le journal,13.8
Complément de programme,13.8
Temps présent,13.8
Télématin,6.8
Journal Belge,1.1
Complément de programme,1.1
Jardins et loisirs,1.3
Tout compte fait,4.5
13 h 15 le dimanche,2.1
Championnat de France de Ligue 1,2.6
Championnat de France de Ligue 1,2.6
Complément de programme,1
Complément de programme,1
Nus et culottés,0.8
L'enquête de ma vie,1
Journal Suisse,1
Mixeur,0.8
Les flots,0.8
Tout le monde veut prendre sa place,5.9
Une saison au zoo,0.9
Journal de France 2,4.8
Vivement dimanche,3.5
La vie secrète des chansons,5.2
Nos chers voisins,1.9
Complément de programme,2.8
TV5 le journal,2.8
L'invité TV5 Monde,1.4
Journal Afrique,7.5
Caïn,4
Acoustic,7.5
Section de recherches,16.2
Design V.I.P.,9.2
"Ma maison, mon cauchemar",15.9
Pas le choix de rénover!,12.7
Mariage à l'aveugle,12.7
Mosaic,7
On joue au docteur,15.9
Dévisagés,5.9
Quand l'amour rend aveugle,1.2
Taxi vers l'au-delà,4.5
La vie avec des quintuplées,6
Flips à Palm Springs,1.9
Design V.I.P.,1.9
Vendre ou rénover au Québec,1.8
Vendre ou rénover?,4.2
Pas le choix de rénover!,4.6
J'ai raté mes rénos!,3.1
J'ai raté mes rénos!,3.1
On efface et on recommence,4.2
On efface et on recommence,4.2
Que sont-ils devenus?,4
C'est quoi ton plan?,3.5
Vendre ou rénover?,5.7
Bienvenue dans notre zoo,3.5
"Ma maison, mon cauchemar",5.7
Flips à Palm Springs,4.5
Mini-maisons sur mesure,4.5
Taxi vers l'au-delà,4.5
Mariages sur mesure,1.2
Mosaic,0.3
La vie avec des quintuplées,3.8
Le combat des flips,4.1
Agents doubles,9.2
"À vos marques, prêts, rénovez!",1.6
Un couple contre la nature,0.4
Toujours plus loin avec Anthony Bourdain (2),7.2
Safari photo avec Austin Stevens,0
Structures insolites (2),0
Avec ou sans cash,0
Hotel Impossible Top 10,1.1
Le Voyageur assoiffé,1.3
Spots de baignade secrets,0.9
Direction la mer: de Old Orchard à Cape Cod,0.9
Direction la mer: de Old Orchard à Cape Cod,0.6
"Josh Gates, traqueur de mystères (2)",0.6
Le marcheur de l'Himalaya,0.6
Regarde le monde,0.3
Bikinis et bords de mer (2),0.3
Chiller au Québec avec Félipé,0.6
Mordu de la pêche (6),1.9
Décollage pour l'Asie,0.2
Coups de Food (4),2.5
"99 envies d'Évasion - Vancouver, Las Vegas",0.4
CROISIÈRES DE RÊVE,0.3
Soleil tout inclus (10),0.6
Hôtels eXtrêmes,0.1
Benoit à la plage,1
Hell's Kitchen (18),2.3
Coups de Food (4),2.3
De l'acier et du feu,6.1
Les rois de la scrap,6.1
L’Amérique de Michel Barrette,11.2
Légendes de la route,11.2
Légendes de la route,10.3
Traqueurs d’ondes,10.3
De père en fils,10.3
Marins d'eau douce,3.7
Le lot du diable,5.3
Les montagnards,1.4
Les montagnards,1.4
Les montagnards,0.4
De l'acier et du feu,2
De l'acier et du feu,2
De l'acier et du feu,2
Marins d'eau douce,1
Les montagnards,2
Les montagnards,2
Les montagnards,2
Le lot du diable,1.9
Poirier enquête,1.2
Poirier enquête,0.6
Alex Caine: infiltrateur,0
Alex Caine: infiltrateur,0
Hitler déclassifié,0.3
Hitler déclassifié,0.3
Les a$ de la brocante,2.1
Les a$ de la brocante,2.1
Les a$ de la brocante,2.1
CinéMAX,3.1
911,0
911,0
911,0
Un souper presque parfait,0
Un souper presque parfait,0.1
Un souper presque parfait,0.1
Un souper presque parfait,0.1
Un souper presque parfait,0.6
Le mentaliste,0
Le mentaliste,0
Le mentaliste,0
Le mentaliste,4.7
Le mentaliste,4.7
Un souper presque parfait,0.2
Un souper presque parfait,0.2
Un souper presque parfait,0.2
Un souper presque parfait,0.2
Un souper presque parfait,0.2
CinéMAX,0.5
CinéMAX,3.2
CinéMAX,3.2
CinéMAX,0.7
Les meilleures choses,3.1
Lucifer,3.1
Téléjournal 02h sem,1.5
Téléjournal 02h30 sm,1.5
Téléjournal nuit sem,1
Téléjournal nuit sem,1
Téléjournal 04h00 sem,1
Téléjournal 04h30 sem,0.1
"National, Le",0.1
RDI matin 05h30 w-e,0.1
RDI matin 06h00 w-e,0.1
RDI matin 06h30 w-e,0.1
RDI matin 07h00 w-e,0.1
RDI matin 07h30 w-e,1
RDI matin 08h00 w-e,1
RDI matin 08h30 w-e,1
RDI matin 09h00 w-e,1
RDI matin 09h30 w-e,2.2
L'info 10h00 w-e,0.4
L'info 10h30 w-e,0.4
L'info 11h00 w-e,0.4
L'info 11h30 w-e,0.4
Téléjournal midi w-e,0.8
L'Erreur boréale : 20 ans plus tard,0.4
National hebdo,0.8
L'info 13h30 w-e,0.4
L'info 14h00 w-e,0.4
L'info 14h30 w-e,0
L'info 15h00 w-e,0
L'info 15h30 w-e,0.5
L'info 16h00 w-e,0.5
SP Crise en Haïti,0.6
Téléjournal 17h w-e,0.6
SP Crise en Haïti,0.6
Téléjournal 18h w-e,0.6
Pleins feux sur le 50e Festival du Voyageur,2.6
"National, Le w-e",1.8
Enquête,0.4
Téléjournal 21h w-e,1.9
"Le National, édition spéciale",0.2
Téléjournal 22h00 we,0.2
National 22h30 w-e,0.2
Grands report w-e,0.7
Téléjournal 00h w-e,0
Téléjournal 00h30 w-e,0
Téléjournal 01h w-e,0.7
Téléjournal 01h30 w-e,0.7
NCIS: Los Angeles,13.8
NCIS,0
La loi & l'ordre : crimes sexuels,0
Le résident,0.1
"Mélinda, entre deux mondes",0
Nouveau départ,0
L'enquête,1.5
Détectives privés,0.2
Mon ex à moi,1.3
Mon ex à moi,1.3
Solitaire,0.7
Le fardeau de la preuve,0.7
Bienvenue à Schitt's Creek,1.2
Bienvenue à Schitt's Creek,0
Solitaire,0.7
Heartland,0.5
Doubt : affaires douteuses,0.5
Le résident,1.1
Détectives privés,1.8
Dre Mary: mort sur ordonnance,0.4
Élémentaire,0.4
NCIS,0
NCIS: Los Angeles,0.6
NCIS: Nouvelle-Orléans,4.6
Doubt : affaires douteuses,4
Hawaii 5-0,13.8
Remorquage à South Beach (M),0.1
Remorquage à South Beach (M),0.5
Remorquage à South Beach (M),0.5
Remorquage à South Beach (M),3.5
Les hors-la-loi du volant,0
Route en déroute,5.5
Comment c'est fait,6.1
Couples à l'état sauvage,0
Dark Net : le web obscur,0
Week-end de bois,5.5
Ultime défi ninja,5.5
Expédition extrême,1.5
Prêt sur gage de l'enfer (M),0
Prêt sur gage de l'enfer (M),0
Prêt sur gage de l'enfer (M),0
Prêt sur gage de l'enfer (M),0
Science de la rue,0.2
Week-end de bois,0
Garage d'élite,0
Milot Land,0
Cinéma,0.5
Direct dans l'net,0
Pinel: au coeur de la maladie mentale,0
Ceci n'est pas un talk show,0
Roast Battle: le grand duel,0
Fallait pas essayer,0.5
Rapides et millionnaires,0
Route en déroute,0.2
Rat rods de Vegas,0
Ultime défi ninja,0
Dark Net : le web obscur,0.1
Maripier!,0.2
Le trône de fer,0.2
Infiltration,0
Roast Battle: le grand duel,0
Ceci n'est pas un talk show,0.1
Family Guy,4.5
American Dad!,4.5
Le Tom Et Jerry Show,4.5
Bugs et les Looney Tunes,4.5
Bugs et les Looney Tunes,4.5
Bunnicula,4.5
Bunnicula,4.5
LEGO Ninjago,4.5
Ben 10,4.5
Ben 10,0
Teen Titans Go!,0
Teen Titans Go!,0
Teen Titans Go!,0
Teen Titans Go!,0
Winston et Dudley Ding Dong,0
Mini-tuques,0
Mini-tuques,0
Le Tom Et Jerry Show,0
Le magicien d'Oz : Dorothy et ses amis,0
Le magicien d'Oz : Dorothy et ses amis,0
"Va-t'en, Licorne!",0
Cupcake et Dino: Services en tout genre,0
Chop Chop Ninja,0.4
LEGO Ninjago,0
Garderie extrême,0
Unikitty,1.6
Unikitty,1.6
Teen Titans GO!,1.6
Teen Titans GO!,1.6
Ben 10,0
Ben 10,0
"Pokémon, la série : Soleil et Lune - Ultra-Aventures",0
LEGO Ninjago,0
Yu-Gi-Oh! ARC-V,2
Marvel's Avengers: Ultron Revolution,0
Marvel's Avengers: Ultron Revolution,0
Beyblade Burst,0
Les Tortues Ninja,2.3
Garderie extrême,1.2
"Va-t'en, Licorne!",1.5
Cupcake et Dino: Services en tout genre,1.2
Unikitty,1.5
Unikitty,1.5
Teen Titans Go!,1.5
Teen Titans Go!,1.5
Les Simpson,1.2
LEGO Ninjago,1.2
Chop Chop Ninja,1.2
Bravest Warriors,1.3
Au pays des Têtes à claques,1.2
Faut pas rêver!,1.2
Les Simpson,1.2
Archer,2.7
Robot Chicken,0.6
Robot Chicken,1.1
Robot Chicken,1.1
Robot Chicken,1.2
Les Simpson,1.4
Les Grandes Gueules s’animent!,0.8
Archer,4.5
Robot Chicken,4.5
Robot Chicken,4.5
Robot Chicken,4.5
